ACCE_ABSORB_COST	Pret Absorbtie: %d
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Doar un Costum Aura, Colier, Cercel sau Banderolã pot fi folosite.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Obiectele personalizate nu pot fi transmise.
AURA_ITEM_NEED_REGISTER	[Aura] Obiectul trebuie inserat.
AURA_LEVEL_STEP	Nivel %d (Stagiu %d)
AURA_MAX_LEVEL	[Aura] Costumul Aura a ajuns la nivelul maxim.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Obiectul transmis va fi distrus.
AURA_OPEN_OTHER_WINDOW	Nu poþi face asta în timp ce este deschisã o ferestrã pentru îmbunãtãþire, evoluþie sau transfer de statusuri.
AURA_POSSIBLE_AURAITEM	[Aura] Doar Costum Aura poate fi folosit.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Costum Aura trebuie inserat mai întâi.
AURA_TITLE_ABSORB	Transmite valorile în Costum Aura.
AURA_TITLE_EVOLUTION	Evoluþie Costum Aura
AURA_TITLE_GROWTH	Îmbunãtãþire Costum Aura
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Nivel %d (Stagiu %d) (Ratã de absorbþie %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nou
AURA_TOOLTIP_NOW	Actual
AURA_TOOLTIP_RESOURCE	Consumabile
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_CLEAR	Reseteazã
AUTO_TOOLTIP_LINE1	Abilitãþi: Alege abilitãþile de lupta ºi trage-le în locurile libere. (Premium)
AUTO_TOOLTIP_LINE2	Indiciu: Poþi schimba intervalul de activare (în secunde) sub fiecare abilitate.
AUTO_TOOLTIP_LINE3	Licori: Alege licorile pentru luptã ºi trage-le în locurile libere. (Premium)
AUTO_TOOLTIP_LINE4	Indiciu: Licorile de PV si PM se vor activa de îndatã ce nivelul scade sub valoarea % arãtatã la fiecare licoare.
AUTO_TOOLTIP_LINE5	Notã: utilizarea automatã a abilitãþilor, licorilor ºi învierii poate fi activatã în magazinul de obiecte.
AUTO_TOOLTIP_TITLE	Ajutor Atac-Automat
BATTLE_POINT	Puncte de Luptã
BATTLE_ROYALE_ALIVE_COUNT	Supravieþuitori: %d
BATTLE_ROYALE_APPLICATION_TITLE	Bãtãlia Roialã
BATTLE_ROYALE_CANNOT_OPEN_MALL	Nu poþi deschide asta aici.
BATTLE_ROYALE_KILL_COUNT	Adversarii învinºi: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Participã
BATTLE_ROYALE_MAINBUTTON_CANCEL	Anuleazã
BATTLE_ROYALE_MAINBUTTON_EXIT	Pãrãseºte
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Start
BATTLE_ROYALE_NOTIFY_APPLICATED	Te-ai înregistrat la Bãtãlia Roialã. Poþi intra de îndatã ce s-au înscris suficienþi participanþi.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Înregistrarea pentru Bãtãlia Roialã a fost închisã.
BATTLE_ROYALE_NOTIFY_STARTABLE	Acum poþi intra în Bãtãlia Roialã. Apasã pe butonul evenimentului pentru a participa.
BATTLE_ROYALE_NOTIFY_WINNER	Ai câºtigat.
BATTLE_ROYALE_PERSONAL_RANK	Rang Personal: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Doreºti sã foloseºti Rezistenþã Infinitã?
BATTLE_ROYALE_WHO_KILLED	Jucãtori care te-au omorât: %s
BATTLE_ROYALE_WINNER_1	Ai câºtigat Bãtãlia Roialã!
BATTLE_ROYALE_WINNER_2	Vei fi teleportat în sat în curând.
BEAD	Animasferã
BEAD_TIME_REMAINING_TO_GET	Animasferã încãrcatã în: %d min.
BNW_COIN	Monedã Profet
BUY_LIMIT_LEVEL	Limitã cumpãrare: %s
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Nu poþi face altceva dacã ai deschis un magazin privat.
CANNOT_EQUIP_IN_EXCHANGE	Nu poþi schimba echipamentul când negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poþi schimba echipamentul când negociezi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poþi deschide magazinul într-un spaþiu public.
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o sãgeatã.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_BLUE	Nu poti folosi Sufletul Lupului Indigo atunci cand este activ Sufletul Lupului Rosu.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Nu poþi pescui fãrã sã ai echipatã o undiþã.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlã goalã.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlã cu otravã.
CANNOT_SKILL_NEED_TARGET	Care este þinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta în timp ce cãlãresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceasta abilitate nu o pot folosi la aceasta arma.
CANNOT_SKILL_NOT_YET_LEARN	Nu am învatat aceasta abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra morþilor.
CANNOT_SKILL_RED	Nu poti folosi Sufletul Lupului Rosu atunci cand este activ Sufletul Lupului Indigo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi aceasta abilitate cu o undita.
CANNOT_SKILL_SELF_IN_SAFE	De aici nu pot ataca.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi inca aceasta abilitate.
CANNOT_USE	Nu poti folosi asta.
CANNOT_WHISPER_DEST_REFUSE	%s a blocat complet ºoptitul.	SA
CANNOT_WHISPER_NOT_LOGON	%s nu e online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nu poþi ºopti cuiva ceva dacã ºoptitul e complet blocat. 	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armurã
CATEGORY_ARMOR_ARMOR_GLOVE	Mãnuºi
CATEGORY_ARMOR_ARMOR_HEAD	Coifuri
CATEGORY_ARMOR_ARMOR_SHIELD	Scuturi
CATEGORY_COSTUMES	Costume
CATEGORY_COSTUMES_COSTUME_BODY	Costume
CATEGORY_COSTUMES_COSTUME_HAIR	Frizuri
CATEGORY_COSTUMES_COSTUME_WEAPON	Accesorii Arme
CATEGORY_COSTUMES_ETC	Altele
CATEGORY_COSTUMES_SASH	Eºarfe
CATEGORY_DRAGON_STONE	Alchimia Piatrã Dragon
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jad
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubine
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Altele
CATEGORY_EQUIPMENT_ARMOR	Echipament
CATEGORY_EQUIPMENT_JEWELRY	Bijuterii
CATEGORY_EQUIPMENT_WEAPON	Arme
CATEGORY_ETC	Altele
CATEGORY_ETC_ETC	Altele
CATEGORY_ETC_EVENT	Obiecte Eveniment
CATEGORY_ETC_GIFTBOX	Cufere | Cutii
CATEGORY_ETC_MATRIMORY	Mariaj
CATEGORY_ETC_PARTI	Cartea Arta Rãzboiului
CATEGORY_ETC_POLYMORPH	Marmurã Transformare
CATEGORY_ETC_RECIPE	Producþie Licori
CATEGORY_ETC_SEAL	Personalizate
CATEGORY_FISHING_PICK	Pescuit | Minerit
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Târnãcoape
CATEGORY_FISHING_PICK_ETC	Altele
CATEGORY_FISHING_PICK_FISHING_POLE	Momealã de Pescuit
CATEGORY_FISHING_PICK_FOOD	Peºte
CATEGORY_FISHING_PICK_PICK_BOOK	Ghid de Minat
CATEGORY_FISHING_PICK_STONE	Minereuri
CATEGORY_JEWELRY_ARMOR_EAR	Cercei
CATEGORY_JEWELRY_ARMOR_FOOTS	Pantofi
CATEGORY_JEWELRY_ARMOR_NECK	Coliere
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Brãþãri
CATEGORY_JEWELRY_ITEM_BELT	Curele
CATEGORY_MOUNT_PET	Mounti | Însoþitori
CATEGORY_MOUNT_PET_CHARGED_PET	Însoþitori
CATEGORY_MOUNT_PET_EGG	Ouã Însoþitori
CATEGORY_MOUNT_PET_FREE_PET	Însoþitori Avansaþi
CATEGORY_MOUNT_PET_MOUNT	Mounþi
CATEGORY_POTION	Licori
CATEGORY_POTION_ABILITY	Consumabile
CATEGORY_POTION_ETC	Altele
CATEGORY_POTION_HAIRDYE	Vopsele de Pãr
CATEGORY_SKILL	Abilitãþi
CATEGORY_SKILL_BOOK_OF_OBLIVION	Cartea Uitãrii
CATEGORY_SKILL_ETC	Altele
CATEGORY_SKILL_PAHAE	Respingere | Ajutor
CATEGORY_SKILL_SKILL_BOOK	Cãrþi Abilitãþi
CATEGORY_TUNING	Îmbunãtãþiri
CATEGORY_TUNING_ETC	Altele
CATEGORY_TUNING_RESOURCE	Materiale
CATEGORY_TUNING_STONE	Pietrele Spiritului
CATEGORY_UNIQUE	Obiecte Speciale
CATEGORY_UNIQUE_ABILITY	Cosumabile
CATEGORY_UNIQUE_ETC	Altele
CATEGORY_WEAPON_WEAPON_ARROW	Sãgeþi
CATEGORY_WEAPON_WEAPON_BELL	Clopote
CATEGORY_WEAPON_WEAPON_BOW	Arcuri
CATEGORY_WEAPON_WEAPON_CLAW	Gheare
CATEGORY_WEAPON_WEAPON_DAGGER	Cuþite
CATEGORY_WEAPON_WEAPON_FAN	Evantaie
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Suliþe
CATEGORY_WEAPON_WEAPON_QUIVER	Tolbã
CATEGORY_WEAPON_WEAPON_SWORD	Arme O Mânã
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Arme Douã Mâini
CHANGE_ALREADY_REGISTER	[Transformare] Acest obiect a fost deja trimis.
CHANGE_LOOK_CHANGE_ITEM	Vrei sã transformi acest obiect?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transformare] Întai trebuie sa scoþi obiectul dorit pentru transformare.
CHANGE_LOOK_COST	Costuri de transformare: %s Yang
CHANGE_LOOK_DEL_ITEM	Obiectul absorbit se va ºterge.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transformare] Acest obiect nu poate fi transformat.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transformare] Nu poþi transforma un obiect în timp ce este echipat.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transformare] Nu poþi trimite acest obiect.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transformare] Acest obiect este personaliat.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transformare] Trimite obiectul ce doreºti sã îl transformi.
CHANGE_LOOK_INSERT_ITEM	[Transformare] Trebuie sã trimiþi obiectul mai întâi.
CHANGE_LOOK_NEED_MONEY	Obiecte sau Yang insuficiente.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transformare] Aceastã acþiune nu este posibilã în timp ce fereastra de Transformare este deschisã.
CHANGE_LOOK_TITLE	Transformare
CHANGE_LOOK_TITLE2	Transformare Mount
CHANGE_PET_PLEASE_APPEND_FIRST	Mai întâi trebuie selectat însoþitorul.
CHANGE_TOOLTIP2_LINE1	Adaugã obiectul þintã în stânga ºi materialul în dreapta.
CHANGE_TOOLTIP2_LINE2	Apasã pe cãsuþã pentru a utiliza Yang sau un Token Transformare ºi modificã aspectul mountului.
CHANGE_TOOLTIP2_LINE3	Folosind un Token Transformare schimbi înfãþiºarea mountului fãrã sã te coste Yang (se va consuma Tokenul).
CHANGE_TOOLTIP2_LINE4	Dacã schimbi aspectul unui mount cu duratã de timp, durata va ramane neschimbatã.
CHANGE_TOOLTIP2_LINE5	Dacã mountul este permanent, iar materialul are o duratã, mountul va menþine aspectul schimbat pe toatã durata materialului.
CHANGE_TOOLTIP_LINE1	Pune în stânga obiectul ce doreºti sã îl transformi.
CHANGE_TOOLTIP_LINE2	Pune celãlalt obiect în dreapta.
CHANGE_TOOLTIP_LINE3	Aspectul obiectului din stânga se va schimba.
CHANGE_TOOLTIP_LINE4	imediat ce confirmi transformarea (V) ºi plãteºti Yangul.
CHANGE_TOOLTIP_LINE5	Acest obiect permite
CHANGE_TOOLTIP_LINE6	sã transformi un obiect fãrã a cheltui Yang.
CHANGE_TOOLTIP_TITLE	Transformare
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Nu poþi reveni la ecranul de login.
CHANNEL_EMPTY_SERVER	Niciun server
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Acest canal este plin! Alege te rog altul.
CHANNEL_NOT_FIND_INFO	Nicio informaþie gãsitã via Canal.	
CHANNEL_PVP	Duel liber
CHANNEL_SELECT_CHANNEL	Alege canalul
CHANNEL_SELECT_REGION	Selecteazã regiunea.
CHANNEL_SELECT_SERVER	Alege serverul
CHANNEL_STATUS_BUSY	Ocupat
CHANNEL_STATUS_FULL	Plin
CHANNEL_STATUS_OFFLINE	Necunoscut
CHANNEL_STATUS_RECOMMENDED	Recomandat
CHANNEL_STATUS_VACANT	Scãzut
CHANNEL_TEST_SERVER	Testeazã serverul
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Creaza caracter
CHARACTER_NAME	Nume
CHARACTER_SELECT_MODE	Alege caracter
CHARGE_BEAD_QUESTION	Animasfere necesare: %d. Doreºti sã continui?
CHAT_ALL	Toþi
CHAT_BLOCK	Blocheazã
CHAT_DICE_INFO	Aruncã
CHAT_GUILD	Breaslã
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Propoziþia conþine cuvinte nepermise.
CHAT_LOG	Aratã mesaje vechi [L]
CHAT_LOG_TITLE	Log Chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Trimite mesaj
CHAT_SEND_MEMO	Trimite ºoaptã [Shift+Enter]
CHAT_SHOUT	Strigã
CHAT_SHOUT_LIMIT	Poþi striga doar o datã la 15 secunde.
CHAT_WHISPER	ªoaptã
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Nu poþi arunca bani.
CHEQUE_SYSTEM_PICK_WON	Ai primit %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Preþ de vânzare]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Nivel
CLEAR_TIME	Timp
ClosePetChangeWndButton	Închis
COMB_ACCE_IS_CONTINUE_PROCESS	Doreºti sã continui?
COMB_ACCE_WARNING_MESSAGE	Sursa va fi distrusã la succesul complet sau parþial. Transferul poate eºua. Rata de absorbþie a obiectului þintã va fi redusã la succesul parþial sau eºec.
COMB_ACCE_WARNING_MESSAGE1	Sursa va fi distrusã la succesul complet sau parþial.
COMB_ACCE_WARNING_MESSAGE2	Transferul poate eºua.
COMB_ACCE_WARNING_MESSAGE3	Rata de absorbþie a obiectului þintã va fi redusã la succesul parþial sau eºec.
COMB_ACCE_WILL_REMOVE_MATERIAL	Sursa va fi distrusã la succesul complet sau parþial.
COMB_ALREADY_APPEND	Acest obiect a fost deja ales.
COMB_CANT_APPEND_ITEM	Acest articol nu poate fi folosit.
COMB_CANT_APPEND_SEALED_ITEM	Nu poti folosi niciun obiect personalizat.
COMB_CANT_BASE_ITEM	O eºarfã care are deja un bonus nu poate fi folositã ca þintã.
COMB_CANT_MATCH_DRAINRATE	Rata de absorbþie a ambelor obiecte trebuie sã fie identicã pentru un transfer de bonus.
COMB_CANT_MATCH_GRADE	Gradul ambelor obiecte trebuie sã fie identic pentru un transfer de bonus.
COMB_CANT_MATERIAL_ITEM	Obiectul sursã trebuie sã aibã un bonus.
COMB_COST	Pret: %s
COMB_IS_CONTINUE_PROCESS	Vrei sa continui?
COMB_NOTICE	Nu poti deschide un magazin privat in timp ce faci negot de carti.
COMB_NOTICE_NOT_OPEN	Nu poti face negot de carti daca ai un magazin privat deschis.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Aveþi nevoie de un obiect sursã ºi unul þintã plus obiectul de transfer pentru a transfera bonusuri.
COMB_NOT_FULL_BOOK	Nu, nu putem face afaceri in acest fel. Ti-am spus deja ca fac negot cu tine doar daca imi oferi 10 carti la schimb.
COMB_NOT_ITEM_IN_INVENTORY	Nu poti folosi obiectele echipate.
COMB_NOT_MEDIUM_ITEM	Acest articol nu poate fi folosit.
COMB_WILL_REMOVE_MATERIAL	Obiectul sursã va fi distrus în transferul cu succes.
CREATE_ERROR_GM_NAME	Nu poþi folosi ,GM‘ la numele caracterului.
CREATE_ERROR_INSULT_NAME	Acest nume este invalid.
CREATE_ERROR_LIMIT_LEVEL	Caracterul tau trebuie sa aiba cel putin nivelul 80.
CREATE_ERROR_TIME_LIMIT	Poti crea un singur caracter la fiecare 30 de secunde.
CREATE_ERROR_WRONG_STRING	Numele caracterului este invalid.
CREATE_EXIST_SAME_NAME	Existã deja un caracter cu acest nume.
CREATE_FAILURE	Nu poþi crea acest caracter.
CREATE_FULL	Nu mai poti crea alte caractere.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introdu numele.
CREATE_PLUS_STAT	Mai sunt puncte de status disponibile.
CUBE_CATEGORY_ACCESSORY	Bijuterii
CUBE_CATEGORY_ARMOR	Armurã
CUBE_CATEGORY_ARMOR_GLOVE	Mãnuºi
CUBE_CATEGORY_BELT	Curele
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Eveniment
CUBE_CATEGORY_JOB	Clasã
CUBE_CATEGORY_PET	Însoþitor
CUBE_CATEGORY_SETADD_ARMOR	Creeazã armurã set
CUBE_CATEGORY_SETADD_HELMET	Creeazã coif set
CUBE_CATEGORY_SETADD_WEAPON	Creeazã armã set
CUBE_CATEGORY_WEAPON	Armã
CUBE_CATEGOR_SKILL_BOOK	Cartea de Abilitãþi
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Cel puþin unul dintre obiectele utilizate este extrem de valoros (are mai mult de %d bonusuri).
CUBE_MAKE_CONFIRM_QUESTION_2	Chiar doreºti sã continui?
CUBE_NOT_ENOUGH_GEM	Nu ai suficient Gaya.
CUBE_NOT_ENOUGH_GOLD	Yang insuficient pentru fabricare.
CUBE_NOT_ENOUGH_MATERIAL	Material insuficient pentru craft.
CUBE_PLEASE_SELECT	Niciun obiect ales.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Timp rãmas: {0} - {1} ore
CZ_REWARD_QUESTION_COMPLETE	Vrei sã revendici acest loc?
CZ_REWARD_TOOLTIP_10GAN	Insignã Zodiac
CZ_REWARD_TOOLTIP_10GAN_COUNT	Numãr în inventar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Cantitate necesarã
CZ_REWARD_TOOLTIP_12ZI	Insignã Gardian
CZ_REWARD_TOOLTIP_12ZI_COUNT	Numãr în inventar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Cantitate necesarã
CZ_REWARD_TOOLTIP_ALL_BOX	Comoarã Astralã
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Apasã aici pentru a colecta Comoara Astralã drept recompensã.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Apasã aici pentru a colecta Comoara Aventurine drept recompensã.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Apasã aici pentru a colecta Comoara Aureolin drept recompensã.
CZ_REWARD_TOOLTIP_COMPLETABLE	Colecteazã
CZ_REWARD_TOOLTIP_GREEN_BOX	Comoarã Aventurine
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Comoari Aventurine Colectate: %d
CZ_REWARD_TOOLTIP_WEEKLY	Zi
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Vineri
CZ_REWARD_TOOLTIP_WEEKLY_MON	Luni
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sâmbãtã
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sâmbãtã/Duminicã
CZ_REWARD_TOOLTIP_WEEKLY_THU	Joi
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Marþi
CZ_REWARD_TOOLTIP_WEEKLY_WED	Miercuri
CZ_REWARD_TOOLTIP_YELLOW_BOX	Comoarã Aurelion
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Comori Aureolin Colectate: %d
DAY	z
DETAILS_0	Tare vs Metin
DETAILS_1	Tare vs Jumãtate-Om
DETAILS_10	Tare vs Mon. Deºert
DETAILS_11	Tare vs Insecte
DETAILS_12	Valoarea Atacului
DETAILS_13	Valoarea Apãrãrii
DETAILS_14	Pagubã Medie
DETAILS_15	Rezist. Pagubã Medie
DETAILS_16	Pagubã Abilitate
DETAILS_17	Rezistent Pagubã Abilitate
DETAILS_18	Atac Fizic/Magic
DETAILS_19	Atac Magic
DETAILS_2	Rezist la Jumãt.-Om
DETAILS_20	ªansã Lovit. Criticã
DETAILS_21	Loviturã Pãtrunzãt.
DETAILS_22	Rezist Lovit. Crit.
DETAILS_23	Rezist Lov. Pãtrunz.
DETAILS_24	Rezist. la Fulger
DETAILS_25	Rezist. la Gheaþã
DETAILS_26	Rezist. la Întuneric
DETAILS_27	Rezist. la Foc
DETAILS_28	Rezist. la Vânt
DETAILS_29	Rezist. la Pãmânt
DETAILS_3	Tare vs Orci
DETAILS_30	Puterea Fulgerului
DETAILS_31	Puterea Gheþii
DETAILS_32	Puterea Întunecatã
DETAILS_33	Puterea Focului
DETAILS_34	Puterea Vântului
DETAILS_35	Puterea Pãmântului
DETAILS_36	Tare vs Rãzboinic
DETAILS_37	Tare vs Ninja
DETAILS_38	Tare vs Sura
DETAILS_39	Tare vs ªaman
DETAILS_4	Tare vs Vampir
DETAILS_40	Tare vs Lycan
DETAILS_41	Apãrare vs Rãzboinic
DETAILS_42	Apãrare vs Ninja
DETAILS_43	Apãrare vs Sura
DETAILS_44	Apãrare vs ªaman
DETAILS_45	Apãrare vs Lycan
DETAILS_46	Apãrare Sabie
DETAILS_47	Apãrare Douã Mâini
DETAILS_48	Apãrare Pumnal
DETAILS_49	Apãrare Ghearã
DETAILS_5	Tare vs Monstru
DETAILS_50	Apãrare Clopot
DETAILS_51	Apãrare Evantai
DETAILS_52	Apãrare Sãgeatã
DETAILS_53	ªansã de Confuzie
DETAILS_54	ªansã de Încetinire
DETAILS_55	ªansã de Otrãvire
DETAILS_56	Rezistenþã la Otravã
DETAILS_57	Atac Sângeros
DETAILS_58	Rez. Atac Sângeros
DETAILS_59	Furã PV
DETAILS_6	Tare vs Monst Zodiac
DETAILS_60	Furã PM
DETAILS_61	Recupereazã PV
DETAILS_62	Recupereazã PM
DETAILS_63	Blocheazã Atac
DETAILS_64	Evitã Atac Sãgeþi
DETAILS_65	Reflectã Atac Fizic
DETAILS_66	Recup. PV la Ucidere
DETAILS_67	Recup. PM la Ucidere
DETAILS_68	Dublu EXP
DETAILS_69	Dublu Yang
DETAILS_7	Tare vs Animale
DETAILS_70	ªansã Drop
DETAILS_71	Valoarea Atacului
DETAILS_72	Valoarea Apãrãrii
DETAILS_73	EXP
DETAILS_74	ªansã Drop
DETAILS_75	Dublu Yang
DETAILS_76	Rezistenþã la Magie
DETAILS_77	Anti-Magie
DETAILS_8	Tare vs Esoterici
DETAILS_9	Tare vs Demon
DETAILS_ATTBONUS_BELL	Vulnerabil Clopot
DETAILS_ATTBONUS_BOW	Vulnerabil Sãgeatã
